epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,708.661,2.19805,1.01953,0.79837,0.909,0.82178,0.88317,0.40168,1.95583,0.85477,0.81844,0.0014456,0.0014456,0.0014456
44,725.025,2.1126,1.02671,0.78585,0.90563,0.85519,0.92175,0.4155,1.96772,0.76121,0.81376,0.0014324,0.0014324,0.0014324
45,741.249,2.19034,1.01098,0.81955,0.86947,0.85741,0.86902,0.37081,2.09309,0.77131,0.82351,0.0014192,0.0014192,0.0014192
46,757.775,2.217,1.02729,0.79786,0.88951,0.79715,0.86699,0.36625,2.04187,0.76591,0.8156,0.001406,0.001406,0.001406
47,773.768,2.1869,0.94853,0.78949,0.87055,0.82178,0.83475,0.3671,2.1479,0.81638,0.82889,0.0013928,0.0013928,0.0013928
48,789.866,2.22965,0.94187,0.78415,0.94434,0.8399,0.90462,0.42995,1.97153,0.74205,0.81654,0.0013796,0.0013796,0.0013796
49,806.2,2.11221,0.8861,0.78891,0.90988,0.79971,0.86658,0.41295,2.01444,0.77914,0.82326,0.0013664,0.0013664,0.0013664
50,822.655,2.19713,0.92567,0.80509,0.94409,0.83601,0.90363,0.44141,1.96404,0.79033,0.8201,0.0013532,0.0013532,0.0013532
51,838.534,2.18022,0.9374,0.77635,0.88835,0.86654,0.91846,0.43726,1.93225,0.78037,0.81882,0.00134,0.00134,0.00134
52,854.892,2.16677,0.95332,0.79282,0.90912,0.82178,0.90521,0.41307,1.98912,0.76605,0.82077,0.0013268,0.0013268,0.0013268
53,870.849,2.15443,0.92642,0.79336,0.97641,0.81963,0.9026,0.43202,1.97408,0.73383,0.81865,0.0013136,0.0013136,0.0013136
54,887.243,2.12928,0.90365,0.79837,0.89687,0.89109,0.91503,0.4514,1.9064,0.71036,0.81405,0.0013004,0.0013004,0.0013004
54,18.1095,2.12235,0.92557,0.81464,0.91181,0.85149,0.91313,0.41532,2.03682,0.7458,0.82075,0.0013004,0.0013004,0.0013004
55,34.2994,2.20515,0.92391,0.79212,0.91992,0.79616,0.88748,0.41185,2.03822,0.79401,0.82616,0.0012872,0.0012872,0.0012872
56,51.7457,2.15156,0.90912,0.80473,0.92538,0.86139,0.89365,0.41903,2.00325,0.74962,0.82342,0.001274,0.001274,0.001274
57,67.7966,2.17523,0.92513,0.78783,0.888,0.82178,0.87886,0.41668,1.98575,0.74169,0.81462,0.0012608,0.0012608,0.0012608
58,83.726,2.20837,0.94389,0.80316,0.92462,0.85009,0.89886,0.37363,2.06436,0.77189,0.81657,0.0012476,0.0012476,0.0012476
59,99.6627,2.12796,0.90084,0.8007,0.95892,0.80198,0.89657,0.39985,1.98446,0.77952,0.8176,0.0012344,0.0012344,0.0012344
60,115.441,2.07062,0.88046,0.79472,0.91864,0.78258,0.85193,0.39062,1.97955,0.78903,0.82292,0.0012212,0.0012212,0.0012212
61,131.062,2.14543,0.8625,0.78697,0.87835,0.85787,0.88849,0.41198,1.89885,0.73311,0.81402,0.001208,0.001208,0.001208
62,146.674,2.15971,0.89,0.80066,0.89527,0.88119,0.88995,0.36362,2.06711,0.7622,0.81726,0.0011948,0.0011948,0.0011948
63,163.661,2.17818,0.87656,0.80764,0.89102,0.89046,0.90126,0.38262,2.08479,0.73639,0.82243,0.0011816,0.0011816,0.0011816
64,179.585,2.137,0.79312,0.79454,0.93289,0.82584,0.8912,0.44648,1.85144,0.69659,0.81264,0.0011684,0.0011684,0.0011684
65,195.308,1.98978,0.79595,0.78452,0.91119,0.84158,0.90315,0.44611,1.88121,0.71939,0.8166,0.0011552,0.0011552,0.0011552
66,210.898,1.99804,0.83046,0.80179,0.90078,0.84158,0.86523,0.4385,1.89747,0.72265,0.81781,0.001142,0.001142,0.001142
67,227.213,1.98889,0.79873,0.7983,0.8714,0.87215,0.89578,0.42219,1.90554,0.74984,0.81456,0.0011288,0.0011288,0.0011288
68,242.726,2.05828,0.83795,0.78722,0.87997,0.85149,0.87995,0.39399,1.98814,0.77469,0.82654,0.0011156,0.0011156,0.0011156
69,258.321,2.0393,0.85694,0.79394,0.93008,0.82178,0.87036,0.44852,1.90643,0.8092,0.82149,0.0011024,0.0011024,0.0011024
70,273.813,2.0661,0.84132,0.79819,0.93658,0.89109,0.89553,0.4177,1.95253,0.73922,0.81606,0.0010892,0.0010892,0.0010892
71,289.379,2.07969,0.85067,0.79644,0.92016,0.91289,0.93999,0.40646,1.96811,0.72995,0.81657,0.001076,0.001076,0.001076
72,304.958,1.98446,0.79556,0.79193,0.94306,0.88119,0.91683,0.46453,1.90348,0.69594,0.82548,0.0010628,0.0010628,0.0010628
73,320.481,1.98353,0.78255,0.79478,0.93479,0.88119,0.91722,0.40413,2.01645,0.72153,0.82438,0.0010496,0.0010496,0.0010496
74,335.89,2.03077,0.78665,0.77128,0.93199,0.88119,0.91002,0.42504,2.01798,0.71511,0.82553,0.0010364,0.0010364,0.0010364
75,351.509,1.99356,0.79485,0.78937,0.90927,0.89305,0.92618,0.44905,1.93734,0.69103,0.81942,0.0010232,0.0010232,0.0010232
